image_filename,image_type,source_image_id,group_id,manual_component_ids,historical_split,final_split,included,exclusion_reason,class_ids,class_names,source_final_split,clean_group_id,clean_action
ANT_A_0001.jpg,original,,G00001,,train,train,True,,0,ANT_AB,train,G00001,kept
ANT_A_0002.jpg,original,,G00002,,train,val,True,,0,ANT_AB,val,G00002,kept
ANT_A_0003.jpg,original,,G00003,,train,train,True,,0,ANT_AB,train,G00003,kept
ANT_A_0004.jpg,original,,G00004,,train,train,True,,0,ANT_AB,train,G00004,kept
ANT_A_0005.jpg,original,,G00005,,train,train,True,,0,ANT_AB,train,G00005,kept
ANT_A_0006.jpg,original,,G00006,,test,train,True,,0,ANT_AB,train,G00006,kept
ANT_A_0007.jpg,original,,G00007,,train,val,True,,0,ANT_AB,val,G00007,kept
ANT_A_0008.jpg,original,,G00008,,train,val,True,,0,ANT_AB,val,G00008,kept
ANT_A_0009.jpg,original,,G00009,,val,train,True,,0,ANT_AB,train,G00009,kept
ANT_A_0010.jpg,original,,G00010,,train,train,True,,0,ANT_AB,train,G00010,kept
ANT_A_0011.jpg,original,,G00011,,train,train,True,,0,ANT_AB,train,G00011,kept
ANT_A_0012.jpg,original,,G00012,,train,train,True,,0,ANT_AB,train,G00012,kept
ANT_A_0013.jpg,original,,G00013,,train,train,True,,0,ANT_AB,train,G00013,kept
ANT_A_0014.jpg,original,,G00014,,train,train,True,,0,ANT_AB,train,G00014,kept
ANT_A_0016.jpg,original,,G00015,,val,val,True,,0,ANT_AB,val,G00015,kept
ANT_A_0017.jpg,original,,G00016,,train,test,True,,0,ANT_AB,test,G00016,kept
ANT_A_0018.jpg,original,,G00017,,test,train,True,,0,ANT_AB,train,G00017,kept
ANT_A_0019.jpg,original,,G00018,,train,train,True,,0,ANT_AB,train,G00018,kept
ANT_A_0020.jpg,original,,G00019,,val,train,True,,0,ANT_AB,train,G00019,kept
ANT_A_0021.jpg,original,,G00020,,train,train,True,,0,ANT_AB,train,G00020,kept
ANT_A_0022.jpg,original,,G00021,,train,train,True,,0,ANT_AB,train,G00021,kept
